name,lat,lon
Brünigstrasse,47.4461345,8.4816608
Geerenweg,47.4394222,8.4764761
Pächterried,47.4458398,8.4701375
Hütten Schulhaus,47.1753778,8.6658672
Hütten Friedhof,47.1758488,8.6610888
Geerenweg,47.4394729,8.4779083
Dreispitz,47.4384507,8.4644951
Strickhof,47.3935282,8.5475285
Bachtelstrasse,47.3245378,8.8068627
Langhag,47.4369518,8.6867164
Toblerplatz,47.379282,8.5591579
Stäfa Dorf,47.2396753,8.7346739
Landi,47.240572,8.7327563
Obstgarten,47.2411194,8.7302587
Fehrenbach,47.2863158,8.4412043
Kreuzplatz,47.3658534,8.5538567
Hegibachplatz,47.3616723,8.5600593
Hegibachplatz,47.3618828,8.5606271
Saland Dorf,47.3907851,8.8537624
Güpf,47.3009409,8.4486946
Oberrüti,47.4799085,8.561781
Oberrüti,47.4799041,8.5631149
Hausacker,47.2950513,8.4491875
Kronenplatz,47.2811436,8.4536259
Blitzgbach,47.2852672,8.4531064
Grund,47.3310472,8.474137
Saalsporthalle,47.3570758,8.5218744
Bonstetten-Wettswil Bahnhof,47.3264407,8.468467
Weinberg,47.2792661,8.4618574
Höri Gemeindehaus,47.5082002,8.5102271
Sihlcity,47.3582181,8.5230374
Aumüli,47.3019387,8.4852541
Lätten,47.3189682,8.456661
Embrach Oberdorf,47.5009882,8.5981701
Sonnhalde West,47.4533495,8.4587788
Chilenholzstrasse,47.3340755,8.4788128
Lärchenhof,47.3239725,8.4723288
Leematten,47.4525976,8.4670726
Aesch Gemeindehaus,47.3378276,8.4385257
Sellenbüren,47.3426244,8.4827201
Bleiki,47.3340427,8.4884725
Aegerten,47.3199182,8.490567
Büchel,47.3011476,8.5221058
Glärnischstrasse,47.2536481,8.7025786
Zweierhof,47.1970176,8.6488455
Eskimo,47.519062,8.6372025
Dättlikon,47.5250443,8.6230621
Zehntenhausplatz,47.4187002,8.5061486
Zehntenhausplatz,47.4195356,8.5055283
Hungerbergstrasse,47.4212467,8.5003955
Chrüzächer,47.4278422,8.4732015
Gemeindehaus,47.4342296,8.4698119
Gemeindehaus,47.4341873,8.4694622
Holenbach,47.4316217,8.4607598
Seitenacker,47.438784,8.4450513
Dällikon Dorf,47.4398037,8.4396714
Dänikon Gemeindehaus,47.4458652,8.4077219
Rotflue,47.4470594,8.3974457
Hüttikon,47.4460288,8.3869154
Hüntwangen-Wil Bahnhof,47.5809934,8.5132468
Bonstetten-Wettswil Bahnhof,47.3264826,8.468541
Bonstetten-Wettswil Bahnhof,47.326446,8.4683979
Riedgraben,47.4108209,8.5592587
Riedgraben,47.4108071,8.5583961
Jungholz,47.3504317,8.6963966
Jungholz,47.3505432,8.6965603
